,S_INFO_WINDCODE,S_INFO_NAME,S_INFO_LISTDATE,S_INFO_DELISTDATE,S_INFO_LISTBOARDNAME,INDUSTRIESCODE,INDUSTRIESNAME
480,600663.SH,陆家嘴,19930628,,主板,b10n000000000000,房地产
481,600732.SH,爱旭股份,19960816,,主板,b10b000000000000,电力设备及新能源
482,600988.SH,赤峰黄金,20040414,,主板,b103000000000000,有色金属
483,600998.SH,九州通,20101102,,主板,b10i000000000000,医药
484,601187.SH,厦门银行,20201027,,主板,b10l000000000000,银行
485,601198.SH,东兴证券,20150226,,主板,b10m000000000000,非银行金融
486,601568.SH,北元集团,20201020,,主板,b106000000000000,基础化工
487,601577.SH,长沙银行,20180926,,主板,b10l000000000000,银行
488,601636.SH,旗滨集团,20110812,,主板,b108000000000000,建材
489,601991.SH,大唐发电,20061220,,主板,b104000000000000,电力及公用事业
490,603156.SH,养元饮品,20180212,,主板,b10j000000000000,食品饮料
491,603707.SH,健友股份,20170719,,主板,b10i000000000000,医药
492,688208.SH,道通科技,20200213,,科创板,b10r000000000000,计算机
493,600120.SH,浙江东方,19971201,,主板,b10u000000000000,综合金融
494,600787.SH,中储股份,19970121,,主板,b10o000000000000,交通运输
495,002004.SZ,华邦健康,20040625,,主板,b106000000000000,基础化工
496,000028.SZ,国药一致,19930809,,主板,b10i000000000000,医药
497,002056.SZ,横店东磁,20060802,,主板,b10p000000000000,电子
498,002002.SZ,鸿达兴业,20040625,,主板,b10b000000000000,电力设备及新能源
